SCHOOL_CODE,Pass_Percentage,Result
AN0001,20.00%,Attention
AN0002,28.57%,Attention
AN0004,50.00%,Attention
AN0005,0.00%,Attention
AN0006,90.48%,Reward
AN0007,28.57%,Attention
AN0008,41.67%,Attention
AN0009,50.00%,Attention
AN0010,0.00%,Attention
AN0011,73.33%,Attention
AN0012,0.00%,Attention
AN0013,0.00%,Attention
AN0015,0.00%,Attention
AN0016,33.33%,Attention
AN0017,0.00%,Attention
AN0018,25.00%,Attention
AN0019,0.00%,Attention
AN0020,20.00%,Attention
AN0022,100.00%,Reward
AN0023,37.50%,Attention
AN0024,44.44%,Attention
AN0025,16.67%,Attention
AN0026,0.00%,Attention
AN0027,55.56%,Attention
AN0028,50.00%,Attention
AN0029,66.67%,Attention
AN0030,89.47%,Reward
AN0031,90.00%,Reward
AN0032,66.67%,Attention
AN0033,88.89%,Reward
AN0035,0.00%,Attention
AN0036,87.50%,Reward
AN0037,100.00%,Reward
AN0038,42.86%,Attention
AN0039,100.00%,Reward
AN0040,0.00%,Attention
AN0041,0.00%,Attention
AN0042,80.00%,Reward
AN0043,77.78%,Normal
AN0044,75.00%,Attention
AN0045,66.67%,Attention
AN0047,100.00%,Reward
AN0049,0.00%,Attention
AN0053,16.67%,Attention
AN0054,100.00%,Reward
AN0055,100.00%,Reward
AN0057,50.00%,Attention
AN0059,100.00%,Reward
AN0060,0.00%,Attention
AN0061,0.00%,Attention
AN0062,100.00%,Reward
AN0063,47.06%,Attention
AN0065,0.00%,Attention
AN0068,0.00%,Attention
AN0070,33.33%,Attention
AN0071,60.00%,Attention
AN0072,100.00%,Reward
AN0073,0.00%,Attention
AN0074,0.00%,Attention
AN0075,66.67%,Attention
AN0076,33.33%,Attention
AN0077,100.00%,Reward
AN0079,52.38%,Attention
AN0080,70.00%,Attention
AN0081,80.00%,Reward
AN0083,22.22%,Attention
AN0084,50.00%,Attention
AN0090,100.00%,Reward
AN0091,100.00%,Reward
AN0092,71.43%,Attention
AN0093,28.57%,Attention
AN0094,52.63%,Attention
AN0095,0.00%,Attention
AN0096,66.67%,Attention
AN0098,25.00%,Attention
AN0099,50.00%,Attention
AN0100,70.00%,Attention
AN0101,100.00%,Reward
AN0102,100.00%,Reward
AN0104,75.00%,Attention
AN0106,83.33%,Reward
AN0107,0.00%,Attention
AN0108,100.00%,Reward
AN0109,100.00%,Reward
AN0111,42.86%,Attention
AN0112,0.00%,Attention
AN0113,66.67%,Attention
AN0114,100.00%,Reward
AN0116,100.00%,Reward
AN0118,100.00%,Reward
AN0119,100.00%,Reward
AN0120,100.00%,Reward
AN0121,0.00%,Attention
AN0122,50.00%,Attention
AN0123,50.00%,Attention
AN0124,40.00%,Attention
AN0125,100.00%,Reward
AN0126,100.00%,Reward
AN0127,100.00%,Reward
AN0128,50.00%,Attention
AN0129,33.33%,Attention
AN0130,0.00%,Attention
AN0131,100.00%,Reward
AN0133,100.00%,Reward
AN0136,66.67%,Attention
AN0138,0.00%,Attention
AN0139,100.00%,Reward
AN0140,80.00%,Reward
AN0141,33.33%,Attention
AN0142,41.67%,Attention
AN0143,33.33%,Attention
AN0144,75.00%,Attention
AN0148,16.67%,Attention
AN0149,100.00%,Reward
AN0150,83.33%,Reward
AN0152,50.00%,Attention
AN0153,100.00%,Reward
AN0156,50.00%,Attention
AN0157,100.00%,Reward
AN0158,100.00%,Reward
AN0159,85.71%,Reward
AN0160,100.00%,Reward
AN0161,83.33%,Reward
AN0162,100.00%,Reward
AN0164,50.00%,Attention
AN0165,66.67%,Attention
AN0166,66.67%,Attention
AN0167,63.64%,Attention
AN0168,100.00%,Reward
AN0169,100.00%,Reward
AN0171,0.00%,Attention
AN0172,0.00%,Attention
AN0173,0.00%,Attention
AN0174,20.00%,Attention
AN0175,100.00%,Reward
AN0176,85.71%,Reward
AN0177,80.00%,Reward
AN0178,0.00%,Attention
AN0179,50.00%,Attention
AN0180,100.00%,Reward
AN0182,100.00%,Reward
AN0183,75.00%,Attention
AN0185,50.00%,Attention
AN0186,83.33%,Reward
AN0187,70.00%,Attention
AN0189,100.00%,Reward
AN0190,100.00%,Reward
AN0191,57.14%,Attention
AN0192,100.00%,Reward
AN0193,0.00%,Attention
AN0194,100.00%,Reward
AN0195,0.00%,Attention
AN0196,100.00%,Reward
AN0197,100.00%,Reward
AN0198,100.00%,Reward
AN0199,0.00%,Attention
AN0200,100.00%,Reward
AN0201,75.00%,Attention
AN0202,100.00%,Reward
AN0203,0.00%,Attention
AN0204,25.00%,Attention
AN0205,100.00%,Reward
AN0206,66.67%,Attention
AN0207,100.00%,Reward
AN0209,66.67%,Attention
AN0210,0.00%,Attention
AN0211,100.00%,Reward
AN0212,100.00%,Reward
AN0213,100.00%,Reward
AN0214,100.00%,Reward
AN0215,100.00%,Reward
AN0217,66.67%,Attention
AN0218,100.00%,Reward
AN0219,50.00%,Attention
AN0221,0.00%,Attention
AN0223,33.33%,Attention
AN0224,100.00%,Reward
AN0227,100.00%,Reward
AN0228,20.00%,Attention
AN0229,22.22%,Attention
AN0230,66.67%,Attention
AN0232,100.00%,Reward
AN0233,66.67%,Attention
AN0236,100.00%,Reward
AN0237,100.00%,Reward
AN0238,100.00%,Reward
AN0240,100.00%,Reward
AN0241,0.00%,Attention
AN0242,100.00%,Reward
AN0243,33.33%,Attention
AN0244,100.00%,Reward
AN0245,0.00%,Attention
AN0246,80.00%,Reward
AN0247,100.00%,Reward
AN0249,100.00%,Reward
AN0250,0.00%,Attention
AN0252,100.00%,Reward
AN0253,75.00%,Attention
AN0254,75.00%,Attention
AN0255,100.00%,Reward
AN0257,100.00%,Reward
AN0258,100.00%,Reward
AN0259,100.00%,Reward
AN0261,50.00%,Attention
AN0264,100.00%,Reward
AN0265,11.11%,Attention
AN0266,83.33%,Reward
AN0268,70.00%,Attention
AN0273,0.00%,Attention
AN0276,100.00%,Reward
AN0277,100.00%,Reward
AN0278,50.00%,Attention
AN0279,50.00%,Attention
AN0280,0.00%,Attention
AN0281,100.00%,Reward
AN0282,100.00%,Reward
AN0283,0.00%,Attention
AN0284,50.00%,Attention
AN0285,0.00%,Attention
AN0286,0.00%,Attention
AN0287,100.00%,Reward
AN0288,100.00%,Reward
AN0290,75.00%,Attention
AN0291,100.00%,Reward
AN0292,0.00%,Attention
AN0293,100.00%,Reward
AN0294,100.00%,Reward
AN0295,66.67%,Attention
AN0296,0.00%,Attention
AN0297,66.67%,Attention
AN0298,50.00%,Attention
AN0299,66.67%,Attention
AN0300,100.00%,Reward
AN0302,60.00%,Attention
AN0303,100.00%,Reward
AN0305,50.00%,Attention
AN0307,100.00%,Reward
AN0308,46.15%,Attention
AN0312,80.00%,Reward
AN0313,100.00%,Reward
AN0314,100.00%,Reward
AN0315,33.33%,Attention
AN0316,100.00%,Reward
AN0319,0.00%,Attention
AN0320,100.00%,Reward
AN0321,100.00%,Reward
AN0322,100.00%,Reward
AN0323,100.00%,Reward
AN0324,80.00%,Reward
AN0325,100.00%,Reward
AN0326,66.67%,Attention
AN0327,100.00%,Reward
AN0328,66.67%,Attention
AN0329,0.00%,Attention
AN0330,50.00%,Attention
AN0331,100.00%,Reward
AN0333,100.00%,Reward
AN0336,50.00%,Attention
AN0337,0.00%,Attention
AN0338,0.00%,Attention
AN0339,64.29%,Attention
AN0340,100.00%,Reward
AN0341,100.00%,Reward
AN0342,0.00%,Attention
AN0343,100.00%,Reward
AN0344,33.33%,Attention
AN0347,100.00%,Reward
AN0349,100.00%,Reward
AN0350,0.00%,Attention
AN0351,100.00%,Reward
AN0352,60.00%,Attention
AN0353,100.00%,Reward
AN0354,90.91%,Reward
AN0355,100.00%,Reward
AN0356,50.00%,Attention
AN0358,100.00%,Reward
AN0359,0.00%,Attention
AN0360,100.00%,Reward
AN0361,100.00%,Reward
AN0364,100.00%,Reward
AN0365,66.67%,Attention
AN0370,0.00%,Attention
AN0371,100.00%,Reward
AN0372,50.00%,Attention
AN0375,100.00%,Reward
AN0376,75.00%,Attention
AN0377,100.00%,Reward
AN0378,100.00%,Reward
AN0380,100.00%,Reward
AN0381,100.00%,Reward
AN0382,0.00%,Attention
AN0384,100.00%,Reward
AN0385,0.00%,Attention
AN0387,0.00%,Attention
AN0389,50.00%,Attention
AN0390,100.00%,Reward
AN0394,0.00%,Attention
AN0395,100.00%,Reward
AN0396,66.67%,Attention
AN0398,100.00%,Reward
AN0399,100.00%,Reward
AN0401,55.56%,Attention
AN0402,100.00%,Reward
AN0403,100.00%,Reward
AN0404,100.00%,Reward
AN0407,50.00%,Attention
AN0410,100.00%,Reward
AN0411,87.50%,Reward
AN0412,28.57%,Attention
AN0414,33.33%,Attention
AN0415,100.00%,Reward
AN0418,63.64%,Attention
AN0419,100.00%,Reward
AN0420,100.00%,Reward
AN0421,100.00%,Reward
AN0422,0.00%,Attention
AN0424,100.00%,Reward
AN0425,0.00%,Attention
AN0426,100.00%,Reward
AN0427,100.00%,Reward
AN0428,100.00%,Reward
AN0429,50.00%,Attention
AN0430,66.67%,Attention
AN0431,100.00%,Reward
AN0432,100.00%,Reward
AN0433,100.00%,Reward
AN0434,0.00%,Attention
AN0437,85.71%,Reward
AN0438,100.00%,Reward
AN0439,0.00%,Attention
AN0440,100.00%,Reward
AN0441,50.00%,Attention
AN0442,50.00%,Attention
AN0443,100.00%,Reward
AN0447,100.00%,Reward
AN0449,0.00%,Attention
AN0450,100.00%,Reward
AN0452,33.33%,Attention
AN0454,100.00%,Reward
AN0456,50.00%,Attention
AN0458,66.67%,Attention
AN0459,0.00%,Attention
AN0461,50.00%,Attention
AN0462,66.67%,Attention
AN0463,100.00%,Reward
AN0464,100.00%,Reward
AN0467,0.00%,Attention
AN0470,50.00%,Attention
AN0471,100.00%,Reward
AN0472,66.67%,Attention
AN0474,75.00%,Attention
AN0475,100.00%,Reward
AN0476,100.00%,Reward
AN0478,100.00%,Reward
AN0480,80.00%,Reward
AN0481,50.00%,Attention
AN0482,100.00%,Reward
AN0483,75.00%,Attention
AN0484,100.00%,Reward
AN0487,100.00%,Reward
AN0489,100.00%,Reward
AN0491,100.00%,Reward
AN0492,100.00%,Reward
AN0495,66.67%,Attention
AN0496,100.00%,Reward
AN0500,60.00%,Attention
AN0501,33.33%,Attention
AN0503,80.00%,Reward
AN0504,100.00%,Reward
AN0505,50.00%,Attention
AN0506,100.00%,Reward
AN0508,100.00%,Reward
AN0509,100.00%,Reward
AN0517,100.00%,Reward
AN0520,100.00%,Reward
AN0522,100.00%,Reward
AN0523,100.00%,Reward
AN0524,100.00%,Reward
AN0525,100.00%,Reward
AN0527,62.50%,Attention
AN0528,100.00%,Reward
AN0529,83.33%,Reward
AN0530,100.00%,Reward
AN0532,100.00%,Reward
AN0535,100.00%,Reward
AN0536,0.00%,Attention
AN0537,100.00%,Reward
AN0538,100.00%,Reward
AN0539,60.00%,Attention
AN0540,100.00%,Reward
AN0541,0.00%,Attention
AN0543,60.00%,Attention
AN0544,50.00%,Attention
AN0545,50.00%,Attention
AN0546,100.00%,Reward
AN0547,100.00%,Reward
AN0548,50.00%,Attention
AN0550,0.00%,Attention
AN0552,100.00%,Reward
AN0555,33.33%,Attention
AN0556,0.00%,Attention
AN0557,100.00%,Reward
AN0558,33.33%,Attention
AN0559,75.00%,Attention
AN0560,100.00%,Reward
AN0563,100.00%,Reward
AN0564,100.00%,Reward
AN0565,100.00%,Reward
AN0566,66.67%,Attention
AN0568,100.00%,Reward
AN0569,100.00%,Reward
AN0571,100.00%,Reward
AN0573,100.00%,Reward
AN0574,100.00%,Reward
AN0576,25.00%,Attention
AN0579,100.00%,Reward
AN0580,100.00%,Reward
AN0582,100.00%,Reward
AN0584,93.33%,Reward
AN0585,70.00%,Attention
AN0586,0.00%,Attention
AN0587,50.00%,Attention
AN0588,50.00%,Attention
AN0589,66.67%,Attention
AN0590,100.00%,Reward
AN0591,0.00%,Attention
AN0592,100.00%,Reward
AN0593,80.00%,Reward
AN0594,50.00%,Attention
AN0596,80.00%,Reward
AN0597,100.00%,Reward
AN0600,100.00%,Reward
AN0602,0.00%,Attention
AN0603,100.00%,Reward
AN0605,100.00%,Reward
AN0607,0.00%,Attention
AN0610,100.00%,Reward
AN0611,0.00%,Attention
AN0612,0.00%,Attention
AN0613,0.00%,Attention
AN0614,100.00%,Reward
AN0615,100.00%,Reward
AN0616,100.00%,Reward
AN0617,100.00%,Reward
AN0618,50.00%,Attention
AN0619,100.00%,Reward
AN0620,50.00%,Attention
AN0621,100.00%,Reward
AN0622,0.00%,Attention
AN0623,60.00%,Attention
AN0624,100.00%,Reward
AN0625,50.00%,Attention
AN0626,100.00%,Reward
AN0627,100.00%,Reward
AN0628,100.00%,Reward
AN0630,100.00%,Reward
AN0631,66.67%,Attention
AN0632,100.00%,Reward
AN0633,100.00%,Reward
AN0634,0.00%,Attention
AN0635,100.00%,Reward
AN0636,100.00%,Reward
AN0637,33.33%,Attention
AN0640,100.00%,Reward
AN0643,100.00%,Reward
AN0644,100.00%,Reward
AN0645,100.00%,Reward
AN0646,75.00%,Attention
AN0647,100.00%,Reward
AN0648,100.00%,Reward
AN0649,100.00%,Reward
AN0651,100.00%,Reward
AN0653,100.00%,Reward
AN0654,100.00%,Reward
AN0655,50.00%,Attention
AN0656,100.00%,Reward
AN0657,0.00%,Attention
AN0659,100.00%,Reward
AN0662,16.67%,Attention
AN0663,0.00%,Attention
AN0664,100.00%,Reward
AN0666,85.71%,Reward
AN0667,100.00%,Reward
AN0669,100.00%,Reward
AN0672,100.00%,Reward
AN0675,100.00%,Reward
AN0678,50.00%,Attention
AN0679,100.00%,Reward
AN0680,0.00%,Attention
AN0681,50.00%,Attention
AN0683,33.33%,Attention
AN0684,100.00%,Reward
AN0685,100.00%,Reward
AN0686,50.00%,Attention
AN0689,100.00%,Reward
AN0690,60.00%,Attention
AN0693,100.00%,Reward
AN0694,0.00%,Attention
AN0695,100.00%,Reward
AN0696,33.33%,Attention
AN0699,100.00%,Reward
AN0700,100.00%,Reward
AN0702,100.00%,Reward
AN0703,100.00%,Reward
AN0704,100.00%,Reward
AN0706,100.00%,Reward
AN0709,50.00%,Attention
AN0710,100.00%,Reward
AN0711,100.00%,Reward
AN0712,100.00%,Reward
AN0713,0.00%,Attention
AN0714,100.00%,Reward
AN0715,50.00%,Attention
AN0716,100.00%,Reward
AN0718,0.00%,Attention
AN0719,100.00%,Reward
AN0720,0.00%,Attention
AN0723,100.00%,Reward
AN0724,100.00%,Reward
AN0728,33.33%,Attention
AN0729,100.00%,Reward
AN0730,100.00%,Reward
AN0731,100.00%,Reward
AN0735,33.33%,Attention
AN0736,100.00%,Reward
AN0737,100.00%,Reward
AN0739,0.00%,Attention
AN0743,100.00%,Reward
AN0745,100.00%,Reward
AN0747,0.00%,Attention
AN0748,100.00%,Reward
AN0750,100.00%,Reward
AN0751,100.00%,Reward
AN0752,100.00%,Reward
AN0753,100.00%,Reward
AN0754,100.00%,Reward
AN0758,100.00%,Reward
AN0759,100.00%,Reward
AN0763,100.00%,Reward
AN0766,100.00%,Reward
AN0767,100.00%,Reward
AN0768,100.00%,Reward
AN0770,100.00%,Reward
AN0771,100.00%,Reward
AN0772,100.00%,Reward
AN0773,50.00%,Attention
AN0774,100.00%,Reward
AN0775,100.00%,Reward
AN0776,100.00%,Reward
AN0777,100.00%,Reward
AN0778,100.00%,Reward
AN0779,100.00%,Reward
AN0780,100.00%,Reward
AN0781,0.00%,Attention
AN0782,100.00%,Reward
AN0783,100.00%,Reward
AN0784,66.67%,Attention
AN0785,0.00%,Attention
AN0787,100.00%,Reward
AN0789,100.00%,Reward
AN0791,100.00%,Reward
AN0792,100.00%,Reward
AN0793,100.00%,Reward
AN0794,33.33%,Attention
AN0796,100.00%,Reward
AN0797,66.67%,Attention
AN0798,100.00%,Reward
AN0799,100.00%,Reward
AN0802,0.00%,Attention
AN0803,100.00%,Reward
AN0804,100.00%,Reward
AN0805,0.00%,Attention
AN0806,100.00%,Reward
AN0807,100.00%,Reward
AN0808,0.00%,Attention
AN0810,100.00%,Reward
AN0811,0.00%,Attention
AN0813,100.00%,Reward
AN0814,0.00%,Attention
AN0815,66.67%,Attention
AN0816,100.00%,Reward
AN0817,100.00%,Reward
AN0818,50.00%,Attention
AN0819,66.67%,Attention
AN0821,100.00%,Reward
AN0823,100.00%,Reward
AN0824,0.00%,Attention
AN0825,0.00%,Attention
AN0826,100.00%,Reward
AN0827,0.00%,Attention
AN0833,0.00%,Attention
AN0835,100.00%,Reward
AN0836,80.00%,Reward
AN0837,100.00%,Reward
AN0840,100.00%,Reward
AN0841,100.00%,Reward
AN0845,100.00%,Reward
AN0846,100.00%,Reward
AN0847,100.00%,Reward
AN0848,50.00%,Attention
AN0849,33.33%,Attention
AN0851,100.00%,Reward
AN0852,100.00%,Reward
AN0857,100.00%,Reward
AN0858,66.67%,Attention
AN0859,50.00%,Attention
AN0860,50.00%,Attention
AN0861,100.00%,Reward
AN0862,0.00%,Attention
AN0863,100.00%,Reward
AN0867,0.00%,Attention
AN0869,100.00%,Reward
AN0870,100.00%,Reward
AN0871,100.00%,Reward
AN0873,100.00%,Reward
AN0874,100.00%,Reward
AN0875,0.00%,Attention
AN0879,100.00%,Reward
AN0880,100.00%,Reward
AN0883,100.00%,Reward
AN0885,100.00%,Reward
AN0886,100.00%,Reward
AN0888,100.00%,Reward
AN0896,100.00%,Reward
AN0898,100.00%,Reward
AN0899,100.00%,Reward
AN0901,100.00%,Reward
AN0902,100.00%,Reward
AN0903,0.00%,Attention
AN0908,100.00%,Reward
AN0910,100.00%,Reward
AN0913,100.00%,Reward
AN0914,0.00%,Attention
AN0915,0.00%,Attention
AS0001,22.22%,Attention
AS0002,0.00%,Attention
AS0004,50.00%,Attention
AS0005,0.00%,Attention
AS0006,75.00%,Attention
AS0008,33.33%,Attention
AS0009,66.67%,Attention
AS0010,57.14%,Attention
AS0011,55.56%,Attention
AS0012,82.61%,Reward
AS0013,72.73%,Attention
AS0014,44.44%,Attention
AS0015,0.00%,Attention
AS0016,16.67%,Attention
AS0017,66.67%,Attention
AS0018,100.00%,Reward
AS0019,55.56%,Attention
AS0020,78.57%,Reward
AS0021,0.00%,Attention
AS0025,83.33%,Reward
AS0027,33.33%,Attention
AS0029,66.67%,Attention
AS0030,100.00%,Reward
AS0032,100.00%,Reward
AS0033,36.36%,Attention
AS0034,20.00%,Attention
AS0035,77.78%,Normal
AS0036,100.00%,Reward
AS0039,66.67%,Attention
AS0040,81.82%,Reward
AS0041,100.00%,Reward
AS0043,28.57%,Attention
AS0044,66.67%,Attention
AS0045,80.00%,Reward
AS0046,100.00%,Reward
AS0047,40.00%,Attention
AS0048,100.00%,Reward
AS0049,40.00%,Attention
AS0050,66.67%,Attention
AS0051,33.33%,Attention
AS0052,37.50%,Attention
AS0053,100.00%,Reward
AS0054,66.67%,Attention
AS0056,44.44%,Attention
AS0057,100.00%,Reward
AS0058,75.00%,Attention
AS0059,75.00%,Attention
AS0060,75.00%,Attention
AS0062,100.00%,Reward
AS0063,0.00%,Attention
AS0065,100.00%,Reward
AS0066,100.00%,Reward
AS0067,88.89%,Reward
AS0068,100.00%,Reward
AS0069,100.00%,Reward
AS0070,75.00%,Attention
AS0071,40.00%,Attention
AS0072,100.00%,Reward
AS0073,100.00%,Reward
AS0074,80.00%,Reward
AS0075,42.86%,Attention
AS0076,33.33%,Attention
AS0078,66.67%,Attention
AS0079,100.00%,Reward
AS0081,66.67%,Attention
AS0083,66.67%,Attention
AS0084,66.67%,Attention
AS0086,85.71%,Reward
AS0087,75.00%,Attention
AS0088,0.00%,Attention
AS0089,100.00%,Reward
AS0090,25.00%,Attention
AS0091,100.00%,Reward
AS0092,0.00%,Attention
AS0093,20.00%,Attention
AS0094,45.45%,Attention
AS0095,60.00%,Attention
AS0096,80.00%,Reward
AS0097,40.00%,Attention
AS0098,16.67%,Attention
AS0099,100.00%,Reward
AS0100,33.33%,Attention
AS0101,50.00%,Attention
AS0102,83.33%,Reward
AS0103,50.00%,Attention
AS0104,33.33%,Attention
AS0105,50.00%,Attention
AS0106,50.00%,Attention
AS0107,33.33%,Attention
AS0108,100.00%,Reward
AS0110,50.00%,Attention
AS0111,100.00%,Reward
AS0112,87.50%,Reward
AS0114,100.00%,Reward
AS0116,33.33%,Attention
AS0118,0.00%,Attention
AS0119,33.33%,Attention
AS0121,80.00%,Reward
AS0123,100.00%,Reward
AS0124,100.00%,Reward
AS0125,55.56%,Attention
AS0126,50.00%,Attention
AS0128,93.75%,Reward
AS0129,100.00%,Reward
AS0130,0.00%,Attention
AS0131,100.00%,Reward
AS0134,0.00%,Attention
AS0136,36.36%,Attention
AS0137,100.00%,Reward
AS0138,100.00%,Reward
AS0139,100.00%,Reward
AS0140,100.00%,Reward
AS0141,100.00%,Reward
AS0142,75.00%,Attention
AS0143,57.14%,Attention
AS0145,0.00%,Attention
AS0147,0.00%,Attention
AS0148,0.00%,Attention
AS0149,40.00%,Attention
AS0150,57.14%,Attention
AS0151,80.00%,Reward
AS0152,33.33%,Attention
AS0154,50.00%,Attention
AS0156,50.00%,Attention
AS0157,100.00%,Reward
AS0158,100.00%,Reward
AS0159,62.50%,Attention
AS0160,100.00%,Reward
AS0163,62.50%,Attention
AS0164,100.00%,Reward
AS0165,50.00%,Attention
AS0166,100.00%,Reward
AS0167,66.67%,Attention
AS0168,50.00%,Attention
AS0169,100.00%,Reward
AS0170,40.00%,Attention
AS0172,40.00%,Attention
AS0173,100.00%,Reward
AS0174,60.00%,Attention
AS0175,33.33%,Attention
AS0176,0.00%,Attention
AS0177,100.00%,Reward
AS0179,66.67%,Attention
AS0180,100.00%,Reward
AS0181,100.00%,Reward
AS0182,100.00%,Reward
AS0183,100.00%,Reward
AS0184,100.00%,Reward
AS0185,44.44%,Attention
AS0186,100.00%,Reward
AS0187,50.00%,Attention
AS0188,100.00%,Reward
AS0189,100.00%,Reward
AS0190,25.00%,Attention
AS0191,100.00%,Reward
AS0193,0.00%,Attention
AS0195,100.00%,Reward
AS0196,88.89%,Reward
AS0197,90.91%,Reward
AS0199,75.00%,Attention
AS0200,100.00%,Reward
AS0201,83.33%,Reward
AS0202,100.00%,Reward
AS0203,90.00%,Reward
AS0204,66.67%,Attention
AS0205,80.00%,Reward
AS0206,100.00%,Reward
AS0207,70.00%,Attention
AS0209,66.67%,Attention
AS0210,50.00%,Attention
AS0211,57.14%,Attention
AS0214,33.33%,Attention
AS0215,55.56%,Attention
AS0217,0.00%,Attention
AS0218,0.00%,Attention
AS0219,40.00%,Attention
AS0221,87.50%,Reward
AS0222,75.00%,Attention
AS0224,84.62%,Reward
AS0225,0.00%,Attention
AS0226,55.56%,Attention
AS0227,100.00%,Reward
AS0228,85.71%,Reward
AS0229,100.00%,Reward
AS0230,100.00%,Reward
AS0231,100.00%,Reward
AS0232,100.00%,Reward
AS0233,100.00%,Reward
AS0235,100.00%,Reward
AS0236,100.00%,Reward
AS0237,42.86%,Attention
AS0238,83.33%,Reward
AS0239,33.33%,Attention
AS0240,33.33%,Attention
AS0241,25.00%,Attention
AS0242,75.00%,Attention
AS0243,50.00%,Attention
AS0246,50.00%,Attention
AS0247,50.00%,Attention
AS0248,85.71%,Reward
AS0249,100.00%,Reward
AS0250,57.14%,Attention
AS0251,100.00%,Reward
AS0252,100.00%,Reward
AS0253,100.00%,Reward
AS0255,100.00%,Reward
AS0256,100.00%,Reward
AS0258,75.00%,Attention
AS0261,100.00%,Reward
AS0262,100.00%,Reward
AS0264,100.00%,Reward
AS0266,100.00%,Reward
AS0268,50.00%,Attention
AS0269,25.00%,Attention
AS0271,66.67%,Attention
AS0273,0.00%,Attention
AS0275,0.00%,Attention
AS0276,50.00%,Attention
AS0278,75.00%,Attention
AS0279,40.00%,Attention
AS0280,100.00%,Reward
AS0281,100.00%,Reward
AS0283,100.00%,Reward
AS0284,100.00%,Reward
AS0285,100.00%,Reward
AS0286,0.00%,Attention
AS0288,0.00%,Attention
AS0289,100.00%,Reward
AS0291,33.33%,Attention
AS0293,100.00%,Reward
AS0294,66.67%,Attention
AS0297,100.00%,Reward
AS0299,100.00%,Reward
AS0302,100.00%,Reward
AS0303,0.00%,Attention
AS0306,50.00%,Attention
AS0309,100.00%,Reward
AS0311,100.00%,Reward
AS0312,50.00%,Attention
AS0314,33.33%,Attention
AS0315,100.00%,Reward
AS0316,50.00%,Attention
AS0317,100.00%,Reward
AS0319,0.00%,Attention
AS0321,100.00%,Reward
AS0322,100.00%,Reward
AS0323,100.00%,Reward
AS0326,40.00%,Attention
AS0327,100.00%,Reward
AS0329,100.00%,Reward
AS0330,75.00%,Attention
AS0332,100.00%,Reward
AS0333,100.00%,Reward
AS0335,20.00%,Attention
AS0337,0.00%,Attention
AS0338,100.00%,Reward
AS0340,0.00%,Attention
AS0341,80.00%,Reward
AS0342,50.00%,Attention
AS0343,33.33%,Attention
AS0344,66.67%,Attention
AS0346,100.00%,Reward
AS0347,50.00%,Attention
AS0348,71.43%,Attention
AS0349,100.00%,Reward
AS0351,80.00%,Reward
AS0352,100.00%,Reward
AS0354,25.00%,Attention
AS0355,100.00%,Reward
AS0356,50.00%,Attention
AS0357,75.00%,Attention
AS0361,100.00%,Reward
AS0362,33.33%,Attention
AS0363,0.00%,Attention
AS0364,0.00%,Attention
AS0365,100.00%,Reward
AS0366,100.00%,Reward
AS0367,100.00%,Reward
AS0369,25.00%,Attention
AS0371,100.00%,Reward
AS0374,50.00%,Attention
AS0375,100.00%,Reward
AS0376,100.00%,Reward
AS0377,100.00%,Reward
AS0378,80.00%,Reward
AS0379,33.33%,Attention
AS0381,75.00%,Attention
AS0382,100.00%,Reward
AS0383,100.00%,Reward
AS0384,100.00%,Reward
AS0388,50.00%,Attention
AS0389,100.00%,Reward
AS0390,50.00%,Attention
AS0393,100.00%,Reward
AS0394,100.00%,Reward
AS0395,100.00%,Reward
AS0396,100.00%,Reward
AS0397,100.00%,Reward
AS0399,100.00%,Reward
AS0400,50.00%,Attention
AS0401,100.00%,Reward
AS0403,50.00%,Attention
AS0404,100.00%,Reward
AS0405,100.00%,Reward
AS0406,0.00%,Attention
AS0408,66.67%,Attention
AS0409,87.50%,Reward
AS0410,50.00%,Attention
AS0412,100.00%,Reward
AS0413,100.00%,Reward
AS0416,80.00%,Reward
AS0417,50.00%,Attention
AS0419,100.00%,Reward
AS0420,100.00%,Reward
AS0421,66.67%,Attention
AS0423,100.00%,Reward
AS0424,100.00%,Reward
AS0425,0.00%,Attention
AS0426,100.00%,Reward
AS0427,50.00%,Attention
AS0428,100.00%,Reward
AS0429,100.00%,Reward
AS0430,100.00%,Reward
AS0431,40.00%,Attention
AS0433,37.50%,Attention
AS0436,0.00%,Attention
AS0438,75.00%,Attention
AS0439,50.00%,Attention
AS0440,100.00%,Reward
AS0442,100.00%,Reward
AS0445,0.00%,Attention
AS0447,75.00%,Attention
AS0448,0.00%,Attention
AS0449,75.00%,Attention
AS0450,100.00%,Reward
AS0451,75.00%,Attention
AS0452,100.00%,Reward
AS0454,100.00%,Reward
AS0455,100.00%,Reward
AS0457,66.67%,Attention
AS0458,0.00%,Attention
AS0459,40.00%,Attention
AS0461,100.00%,Reward
AS0462,100.00%,Reward
AS0463,75.00%,Attention
AS0464,40.00%,Attention
AS0465,60.00%,Attention
AS0466,100.00%,Reward
AS0468,100.00%,Reward
AS0469,90.00%,Reward
AS0471,66.67%,Attention
AS0472,80.00%,Reward
AS0473,100.00%,Reward
AS0474,100.00%,Reward
AS0475,100.00%,Reward
AS0476,100.00%,Reward
AS0477,100.00%,Reward
AS0478,100.00%,Reward
AS0479,100.00%,Reward
AS0480,0.00%,Attention
AS0483,100.00%,Reward
AS0485,100.00%,Reward
AS0486,100.00%,Reward
AS0487,50.00%,Attention
