SCHOOL_CODE,Pass_Percentage,Result
DD0150,100.00%,Reward
DD0152,100.00%,Reward
DD0153,100.00%,Reward
DD0154,100.00%,Reward
DD0155,66.67%,Attention
DD0156,100.00%,Reward
DD0157,100.00%,Reward
DD0158,100.00%,Reward
DD0159,100.00%,Reward
DD0160,0.00%,Attention
DD0161,87.50%,Reward
DD0162,100.00%,Reward
DD0164,100.00%,Reward
DD0165,100.00%,Reward
DD0166,100.00%,Reward
DD0168,50.00%,Attention
DD0169,50.00%,Attention
DD0172,100.00%,Reward
DD0173,100.00%,Reward
DD0174,100.00%,Reward
DD0175,100.00%,Reward
DD0176,62.50%,Attention
DD0180,100.00%,Reward
DD0182,100.00%,Reward
DD0183,100.00%,Reward
DD0184,100.00%,Reward
DD0185,100.00%,Reward
DD0187,50.00%,Attention
DD0188,100.00%,Reward
DD0190,75.00%,Attention
DD0191,66.67%,Attention
DD0192,75.00%,Attention
DD0193,100.00%,Reward
DD0195,100.00%,Reward
DD0196,100.00%,Reward
DD0197,0.00%,Attention
DD0199,100.00%,Reward
DD0200,100.00%,Reward
DD0201,100.00%,Reward
DD0203,100.00%,Reward
DD0204,100.00%,Reward
DD0205,100.00%,Reward
DD0206,50.00%,Attention
DD0208,100.00%,Reward
DD0209,0.00%,Attention
DD0211,60.00%,Attention
DD0212,100.00%,Reward
DD0213,0.00%,Attention
DD0215,100.00%,Reward
DD0216,100.00%,Reward
DD0217,100.00%,Reward
DD0218,100.00%,Reward
DD0219,100.00%,Reward
DD0221,100.00%,Reward
DD0222,100.00%,Reward
DD0224,100.00%,Reward
DD0225,100.00%,Reward
DD0226,100.00%,Reward
DD0227,100.00%,Reward
DD0229,100.00%,Reward
DD0230,100.00%,Reward
DD0231,50.00%,Attention
DD0232,0.00%,Attention
DD0234,100.00%,Reward
DD0235,100.00%,Reward
DD0236,83.33%,Reward
DD0237,33.33%,Attention
DD0240,100.00%,Reward
DD0242,100.00%,Reward
DD0244,50.00%,Attention
DD0247,85.71%,Reward
DD0249,100.00%,Reward
DD0250,100.00%,Reward
DD0252,100.00%,Reward
DD0253,50.00%,Attention
DD0254,100.00%,Reward
DD0255,100.00%,Reward
DD0257,100.00%,Reward
DD0259,100.00%,Reward
DD0260,50.00%,Attention
DD0263,50.00%,Attention
DD0264,33.33%,Attention
DD0265,100.00%,Reward
DD0267,100.00%,Reward
DD0268,100.00%,Reward
DD0269,50.00%,Attention
DD0271,0.00%,Attention
DD0272,66.67%,Attention
DD0273,100.00%,Reward
DD0274,100.00%,Reward
DD0275,100.00%,Reward
DD0277,75.00%,Attention
DD0278,0.00%,Attention
DD0279,100.00%,Reward
DD0280,0.00%,Attention
DD0283,100.00%,Reward
DD0285,100.00%,Reward
DD0286,100.00%,Reward
DD0289,100.00%,Reward
DD0292,75.00%,Attention
DD0293,100.00%,Reward
DD0298,66.67%,Attention
DD0299,100.00%,Reward
DD0301,100.00%,Reward
DD0303,100.00%,Reward
DD0304,100.00%,Reward
DD0305,100.00%,Reward
DD0306,100.00%,Reward
DD0308,100.00%,Reward
DD0309,100.00%,Reward
DD0310,100.00%,Reward
DD0311,50.00%,Attention
DD0314,0.00%,Attention
DD0316,100.00%,Reward
DD0318,100.00%,Reward
DD0319,100.00%,Reward
DD0320,0.00%,Attention
DD0321,0.00%,Attention
DD0322,100.00%,Reward
DD0323,100.00%,Reward
DD0327,100.00%,Reward
DD0329,100.00%,Reward
DD0330,100.00%,Reward
DD0332,100.00%,Reward
DD0333,100.00%,Reward
DD0334,100.00%,Reward
DD0337,100.00%,Reward
DD0338,100.00%,Reward
DD0340,100.00%,Reward
DD0341,0.00%,Attention
DD0342,100.00%,Reward
DD0344,100.00%,Reward
DD0345,100.00%,Reward
DD0347,0.00%,Attention
DD0349,75.00%,Attention
DD0352,100.00%,Reward
DD0353,100.00%,Reward
DD0356,80.00%,Reward
DD0357,100.00%,Reward
DD0358,60.00%,Attention
DD0359,80.00%,Reward
DD0360,100.00%,Reward
DD0362,100.00%,Reward
